id,nome,price,category
1,Transponder AIS Maré Magnum,33122.52,eletronicos
2,Transponder Furuno Marlin,13998.15,eletronicos
3,Radar Furuno Pulse Leviathan,9024.19,eletronicos
4,Rádio AIS Hydro Tidal Zen,3381.88,eletronicos
5,Piloto Automático Furuno Storm,23669.01,eletronicos
6,Transponder AIS Vector,11820.21,eletronicos
7,Radar AIS Zen,19518.77,eletronicos
8,GPS AIS Zen,4984.15,eletronicos
9,Transponder AIS Titan Pulse,39705.5,eletronicos
10,Piloto Automático Simrad Titan Flux Magnum,32033.04,eletronicos
11,GPS Furuno Swift Leviathan Poseidon,36231.91,eletronicos
12,GPS AIS Drift Flux Vox,2726.18,eletronicos
13,Radar Simrad Boost,7747.1,eletronicos
14,Rádio Furuno Zen Swift,35811.08,eletronicos
15,Radar Garmin Tidal Thrust,27899.76,eletronicos
16,Sonda Garmin Axis,30005.99,eletronicos
17,Rádio AIS Oceanic Pulse,14038.78,eletronicos
18,Rádio Simrad Axis,26572.45,eletronicos
19,Sonda Lowrance Tidal Storm Vox,16432.35,eletronicos
20,Radar AIS Marlin,30833.44,eletronicos
21,GPS AIS Nautic Thrust,8734.56,eletronicos
22,Transponder Furuno Force Ion,39452.86,eletronicos
23,Piloto Automático Furuno Torque Peak,11178.63,eletronicos
24,GPS AIS Orca Marlin Velocity,23232.18,eletronicos
25,Rádio Lowrance Nitro Thrust Barracuda,12126.46,eletronicos
26,Piloto Automático Furuno Core Boost Flux,17283.18,eletronicos
27,GPS Garmin Vortex Maré Drift,16511.45,eletronicos
28,Piloto Automático AIS Core,14258.56,eletronicos
29,Rádio Simrad Orca,36510.34,eletronicos
30,Transponder AIS Boost,32247.87,eletronicos
31,Transponder Furuno Pulse Axis,8283.11,eletronicos
32,Sonda AIS Impulse Oceanic Zenith,12502.46,eletronicos
33,Transponder Garmin Drift Vortex Marlin,6715.77,eletronicos
34,Transponder AIS Helix Torque,4917.53,eletronicos
35,Radar Furuno Swift,11005.53,eletronicos
36,Radar Lowrance Aqua Pulse,22601.39,eletronicos
37,GPS Lowrance Evo Storm Drift,6067.71,eletronicos
38,Rádio AIS Force,26461.14,eletronicos
39,GPS Furuno Vector,29632.83,eletronicos
40,Sonda Furuno Maré Tidal,14184.04,eletronicos
41,GPS Simrad Flow Pulse,10600.0,eletronicos
42,Transponder Lowrance Axis,5992.84,eletronicos
43,Sonda AIS Barracuda,35096.86,eletronicos
44,GPS Simrad Zen Hydra Peak,10806.84,eletronicos
45,GPS Furuno Current,9903.71,eletronicos
46,Sonda AIS Magnum Boost,4983.77,eletronicos
47,Rádio Simrad Tidal Aqua,6122.96,eletronicos
48,GPS Furuno Magnum Drift,14736.35,eletronicos
49,Sonda Furuno Swift,13264.25,eletronicos
50,Piloto Automático Simrad Poseidon Magnum,11275.99,eletronicos
51,Motor Diesel Tohatsu Evo Zenith 16HP,64158.99,propulsao
52,Motor Diesel Honda Zen Tidal Mako 26HP,13704.1,propulcao
53,Motor Elétrico Torqeedo Zen Titan Hydra 129HP,53675.01,propulsao
54,Motor de Popa Yamaha Evo Dash 155HP,121534.82,propulsao
55,Motor Diesel Volvo Flow Oceanic 259HP,109987.2,propulsao
56,Motor Elétrico Torqeedo Velocity Swift 74HP,42988.77,propulsao
57,Motor de Popa Honda Vector Kinetic 174HP,118790.57,propulsao
58,Motor de Popa Tohatsu Ion Core Nautic 53HP,108824.59,propulcao
59,Motor Diesel Yanmar Hydro Magnum Boost 267HP,87166.14,propulsao
60,Motor de Popa Honda Velocity Drift 258HP,108751.09,propulsao
61,Motor Diesel Honda Prime 84HP,28018.63,propulsao
62,Motor Diesel Yanmar Velocity 37HP,102221.97,propulsao
63,Motor Elétrico Torqeedo Ion Orca Vox 186HP,139957.67,propulsao
64,Motor Elétrico Yamaha Swift Drift Current 265HP,111505.55,propulsao
65,Motor de Popa Torqeedo Nautic Swift 223HP,25557.7,propulcao
66,Motor de Popa Tohatsu Poseidon Helix Prime 135HP,12571.63,propulcao
67,Motor de Popa Yamaha Mako 108HP,85789.05,propulsao
68,Motor de Popa Honda Ion Vox Prime 163HP,66897.1,propulsao
